"player_id","match_id","kills","deaths","creep_score","gold_per_min","tower_kills","roshan_kills","team_fight","obs_wards_planted","camps_stacked","runes_grabbed","first_blood","stuns","total"
114585639,6170919180,0,2.7,0.165,0.518,0,0,1.5,1,2,1,0,0.63147345,9.51447345
230580807,6170919180,0.6,2.1,0.522,0.832,1,0,2.25,1,1,2.25,4,0,15.554
361688848,6170919180,0.3,2.4,0.666,1.006,0,0,1.875,0,0.5,0.5,0,0,7.247
169405715,6170919180,1.5,2.1,0.444,0.72,0,0,2.625,0,0.5,0.25,0,0.045036625,8.184036625
207916561,6170919180,0,1.2,0.039,0.358,0,0,1.125,4,2,0.5,0,1.832257,11.054257
114585639,5989979498,4.2,0.9,1.707,1.27,0,0,2.35714281,1,0,3.5,0,2.6836054,17.61774821
100246000,5989979498,1.2,0,0.63,0.77,0,1,1.60714281,4.5,0,1.25,0,1.0685503,12.02569311
85367644,5989979498,0.6,1.5,1.854,1.236,3,0,1.3928571,0,1,0.75,0,0,11.3328571
277196834,5989979498,0.9,-0.3,0.24,0.58,0,0,1.60714281,8,0.5,1,0,2.8859497,15.41309251
153351088,5989979498,1.5,0.9,0.822,0.792,2,1,1.82142861,0,0.5,1.75,4,3.3359135,18.42134211
